Episode Rewards,Episode EPS,Episode Scores
-511,0.8999999761581421,130
-377,0.8989381790161133,220
-450,0.8978776335716248,180
-385,0.8968184590339661,240
-490,0.8957605957984924,140
-393,0.8947040438652039,270
-537,0.8936488628387451,120
-494,0.8925949335098267,150
-453,0.891542375087738,210
-548,0.8904910683631897,150
-467,0.8894411325454712,180
-388,0.8883925080299377,260
-468,0.8873451352119446,130
-478,0.8862991333007812,160
-436,0.8852543830871582,200
-371,0.884211003780365,290
-541,0.8831688761711121,210
-439,0.8821280598640442,270
-355,0.8810885548591614,330
-487,0.8800503611564636,110
-457,0.8790134191513062,190
-472,0.8779777884483337,200
-397,0.8769434690475464,290
-385,0.8759104609489441,330
-425,0.8748787045478821,220
-285,0.8738482594490051,390
-454,0.8728190660476685,210
-365,0.8717911839485168,270
-254,0.8707646131515503,410
-320,0.869739294052124,370
-264,0.868715226650238,380
-426,0.8676924705505371,230
-473,0.8666710257530212,170
-518,0.8656508326530457,100
-391,0.8646318912506104,240
-435,0.8636142611503601,230
-478,0.8625978827476501,230
-574,0.8615827560424805,140
-358,0.8605688810348511,270
-378,0.8595563173294067,220
-465,0.8585450053215027,170
-332,0.8575349450111389,300
-530,0.8565261960029602,140
-381,0.855518639087677,300
-520,0.8545123934745789,110
-402,0.8535073399543762,210
-463,0.8525035977363586,180
-474,0.8515011072158813,160
-462,0.8504998683929443,180
-456,0.8494998812675476,160
-508,0.8485010862350464,140
-356,0.8475036025047302,250
-385,0.8465073704719543,220
-356,0.845512330532074,350
-495,0.8445185422897339,150
-487,0.8435260057449341,130
-390,0.8425347208976746,220
-296,0.8415446877479553,360
-331,0.8405559062957764,300
-463,0.8395683169364929,150
-451,0.8385819792747498,190
-392,0.8375968337059021,410
-448,0.8366129994392395,160
-392,0.8356302976608276,220
-478,0.8346489071846008,160
-511,0.8336687088012695,130
-321,0.8326897025108337,400
-391,0.8317119479179382,240
-421,0.830735445022583,190
-441,0.8297601342201233,180
-359,0.8287860155105591,290
-456,0.8278131484985352,200
-292,0.8268415331840515,380
-381,0.8258710503578186,330
-287,0.824901819229126,440
-385,0.8239337801933289,320
-388,0.822966992855072,350
-417,0.8220013976097107,330
-510,0.8210369944572449,90
-404,0.8200737833976746,250
-267,0.8191118240356445,380
-394,0.8181509971618652,300
-337,0.8171914219856262,350
-407,0.8162330389022827,320
-365,0.8152758479118347,320
-405,0.8143198490142822,410
-403,0.8133650422096252,200
-502,0.8124114274978638,180
-271,0.8114590048789978,400
-436,0.8105077743530273,210
-302,0.8095577359199524,330
-439,0.808608889579773,200
-349,0.807661235332489,270
-480,0.8067147135734558,140
-347,0.8057694435119629,310
-504,0.8048253059387207,140
-502,0.803882360458374,120
